#solver it r/r0
step        1 0.100000E+04
nlit      1
           1         7.6783439445E-01    1.7276273875E+00
           2         5.1135706055E-01    1.1505533862E+00
           3         4.4205769126E-01    9.9462980533E-01
           4         1.3384379543E+01    3.0114853971E+01
           5         3.0304789790E-01    6.8185777027E-01
           6         3.5159367836E-01    7.9108577631E-01
           7         1.8816864761E+00    4.2337945713E+00
           8         3.0746823657E-01    6.9180353228E-01
           9         5.3810969731E-01    1.2107468189E+00
          10         9.8295011153E-01    2.2116377509E+00
          11         1.3840941599E-03    3.1142118599E-03
          12         2.6288619354E-12    5.9149393546E-12
          13         1.0520217174E-12    2.3670488642E-12
          14         1.9149840583E-12    4.3087141311E-12
          15         1.1311950137E-12    2.5451887808E-12
          16         5.8114557330E-13    1.3075775399E-12
          17         4.8338620843E-13    1.0876189690E-12
          18         4.0198542690E-13    9.0446721053E-13
          19         4.0375378715E-13    9.0844602109E-13
          20         4.2857175939E-13    9.6428645863E-13
          21         1.3681518322E-13    3.0783416224E-13
          22         7.3879243120E-15    1.6622829702E-14
          23         1.0266410030E-17    2.3099422567E-17
step        2 0.200000E+04
nlit      1
           1         1.3064668469E+04    1.0463367155E+00
           2         8.1834516018E+03    6.5540475760E-01
           3         1.2261673146E+04    9.8202559352E-01
           4         4.7403994771E+03    3.7965402882E-01
           5         4.2054521324E+03    3.3681061117E-01
           6         6.6721196097E+03    5.3436363387E-01
           7         5.2663378264E+03    4.2177592470E-01
           8         6.9115180561E+03    5.5353682489E-01
           9         9.4406602454E+03    7.5609338710E-01
          10         4.9293894318E+03    3.9479005228E-01
          11         3.0981461144E+00    2.4812753859E-04
          12         3.7513897869E-10    3.0044519520E-14
          13         3.6887806308E-10    2.9543088819E-14
          14         5.6739785721E-10    4.5442347943E-14
          15         5.1083086367E-10    4.0911951909E-14
          16         1.3111422253E-09    1.0500811811E-13
          17         1.5418019708E-10    1.2348143499E-14
          18         4.8982421617E-10    3.9229549741E-14
          19         4.3039196076E-10    3.4469677642E-14
          20         3.0529572683E-10    2.4450840743E-14
          21         2.9811172561E-11    2.3875481004E-15
          22         1.9751646925E-13    1.5818903801E-17
          23         8.0543609988E-19    6.4506601554E-23
step        3 0.300000E+04
nlit      1
           1         4.4835335123E+04    7.3064605788E-01
           2         3.2366391874E+04    5.2744953429E-01
           3         2.9627200420E+04    4.8281109383E-01
           4         3.2723692507E+04    5.3327218060E-01
