Non-linear control flop.
step        1 0.100000E+04
      1    0.1000000000E+01    0.1500000000E+01
      2    0.5130118735E-14    0.7695178103E-14
step        2 0.200000E+04
      1    0.1000000000E+01    0.8949247842E-02
      2    0.4431782331E-12    0.3966111846E-14
step        3 0.300000E+04
      1    0.1000000000E+01    0.4036856509E-02
      2    0.1807099561E-12    0.7295001626E-15
step        4 0.400000E+04
      1    0.1000000000E+01    0.2852865014E-02
      2    0.4468473553E-12    0.1274795186E-14
step        5 0.500000E+04
      1    0.1000000000E+01    0.2342024560E-02
      2    0.4122048864E-11    0.9653939676E-14
step        6 0.600000E+04
      1    0.1000000000E+01    0.2080817917E-02
      2    0.2918322854E-12    0.6072498481E-15
step        7 0.700000E+04
      1    0.1000000000E+01    0.1892545245E-02
      2    0.7996481916E-12    0.1513370382E-14
step        8 0.800000E+04
      1    0.1000000000E+01    0.1740017017E-02
      2    0.5000436674E-12    0.8700844904E-15
step        9 0.900000E+04
      1    0.1000000000E+01    0.1605106708E-02
      2    0.4525988279E-12    0.7264694149E-15
step       10 0.100000E+05
      1    0.1000000000E+01    0.1483162614E-02
      2    0.3848767830E-12    0.5708348557E-15
step       11 0.110000E+05
      1    0.1000000000E+01    0.1371405351E-02
      2    0.1268679549E-12    0.1739873922E-15
step       12 0.120000E+05
      1    0.1000000000E+01    0.1268513207E-02
      2    0.4943163035E-12    0.6270467594E-15
step       13 0.130000E+05
      1    0.1000000000E+01    0.1173531051E-02
      2    0.3363364460E-12    0.3947012629E-15
step       14 0.140000E+05
      1    0.1000000000E+01    0.1085751533E-02
      2    0.4391549702E-12    0.4768131822E-15
step       15 0.150000E+05
      1    0.1000000000E+01    0.1004579074E-02
      2    0.3620005870E-12    0.3636582146E-15
step       16 0.160000E+05
      1    0.1000000000E+01    0.9294946346E-03
      2    0.5873167952E-12    0.5459078100E-15
step       17 0.170000E+05
      1    0.1000000000E+01    0.8600311786E-03
      2    0.3915915069E-12    0.3367809052E-15
step       18 0.180000E+05
      1    0.1000000000E+01    0.7957631307E-03
      2    0.3925226799E-12    0.3123550766E-15
step       19 0.190000E+05
      1    0.1000000000E+01    0.7362996515E-03
      2    0.2464906102E-12    0.1814909504E-15
step       20 0.200000E+05
      1    0.1000000000E+01    0.6812805114E-03
      2    0.2990697438E-12    0.2037503880E-15
step       21 0.210000E+05
      1    0.1000000000E+01    0.6303730451E-03
      2    0.6713872883E-12    0.4232244493E-15
step       22 0.220000E+05
      1    0.1000000000E+01    0.5832697505E-03
      2    0.3787474260E-12    0.2209119166E-15
step       23 0.230000E+05
      1    0.1000000000E+01    0.5396862447E-03
      2    0.1437263467E-12    0.7756713234E-16
step       24 0.240000E+05
      1    0.1000000000E+01    0.4993594616E-03
      2    0.2770445311E-12    0.1383448079E-15
step       25 0.250000E+05
      1    0.1000000000E+01    0.4620460232E-03
      2    0.2958505077E-12    0.1366965505E-15
step       26 0.260000E+05
      1    0.1000000000E+01    0.4275207516E-03
      2    0.2591339351E-12    0.1107851347E-15
step       27 0.270000E+05
      1    0.1000000000E+01    0.3955753020E-03
