"cCO2","darcyVel:0","darcyVel:1","darcyVel:2","noIdG","elIdG","mat","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.5,0,0,1,1,1,1,0,0,0,0
0.99998,0.5,0,0,2,2,1,1,0.1,0.1,0,0
0.99993,0.5,0,0,3,3,1,1,0.2,0.2,0,0
0.99977,0.5,0,0,4,4,1,1,0.3,0.3,0,0
0.99928,0.5,0,0,5,5,1,1,0.4,0.4,0,0
0.99773,0.5,0,0,6,5,1,1,0.5,0.5,0,0
0.99262,0.5,0,0,7,7,1,1,0.6,0.6,0,0
0.97536,0.5,0,0,8,7,1,1,0.7,0.7,0,0
0.9161,0.5,0,0,9,9,1,1,0.8,0.8,0,0
0.71116,0.5,0,0,10,9,1,1,0.9,0.9,0,0
0,0.5,0,0,11,10,1,1,1,1,0,0
