"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,1,0,4.9351e-05,0,-0.5
0.99997,0,0,1,1,0.01,4.9351e-05,0,-0.49
0.99991,0,0,1,1,0.02,4.9351e-05,0,-0.48
0.9998,0,0,1,1,0.03,4.9351e-05,0,-0.47
0.9996,0,0,1,1,0.04,4.9351e-05,0,-0.46
0.99927,0,0,1,1,0.05,4.9351e-05,0,-0.45
0.99871,0,0,1,1,0.06,4.9351e-05,0,-0.44
0.99786,0,0,1,1,0.07,4.9351e-05,0,-0.43
0.99649,0,0,1,1,0.08,4.9351e-05,0,-0.42
0.99427,0,0,1,1,0.09,4.9351e-05,0,-0.41
0.99116,0,0,1,1,0.1,4.9351e-05,0,-0.4
0.98683,0,0,1,1,0.11,4.9351e-05,0,-0.39
0.98031,0,0,1,1,0.12,4.9351e-05,0,-0.38
0.97163,0,0,1,1,0.13,4.9351e-05,0,-0.37
0.96035,0,0,1,1,0.14,4.9351e-05,0,-0.36
0.94519,0,0,1,1,0.15,4.9351e-05,0,-0.35
0.92714,0,0,1,1,0.16,4.9351e-05,0,-0.34
0.90342,0,0,1,1,0.17,4.9351e-05,0,-0.33
0.87402,0,0,1,1,0.18,4.9351e-05,0,-0.32
0.84101,0,0,1,1,0.19,4.9351e-05,0,-0.31
0.80051,0,0,1,1,0.2,4.9351e-05,0,-0.3
0.75811,0,0,1,1,0.21,4.9351e-05,0,-0.29
0.70997,0,0,1,1,0.22,4.9351e-05,0,-0.28
0.65563,0,0,1,1,0.23,4.9351e-05,0,-0.27
0.60309,0,0,1,1,0.24,4.9351e-05,0,-0.26
0.54419,0,0,1,1,0.25,4.9351e-05,0,-0.25
0.49004,0,0,1,1,0.26,4.9351e-05,0,-0.24
0.4319,0,0,1,1,0.27,4.9351e-05,0,-0.23
0.3789,0,0,1,1,0.28,4.9351e-05,0,-0.22
0.32792,0,0,1,1,0.29,4.9351e-05,0,-0.21
0.27924,0,0,1,1,0.3,4.9351e-05,0,-0.2
0.23651,0,0,1,1,0.31,4.9351e-05,0,-0.19
0.1969,0,0,1,1,0.32,4.9351e-05,0,-0.18
0.16204,0,0,1,1,0.33,4.9351e-05,0,-0.17
0.13153,0,0,1,1,0.34,4.9351e-05,0,-0.16
0.10573,0,0,1,1,0.35,4.9351e-05,0,-0.15
0.084421,0,0,1,1,0.36,4.9351e-05,0,-0.14
0.066627,0,0,1,1,0.37,4.9351e-05,0,-0.13
0.051533,0,0,1,1,0.38,4.9351e-05,0,-0.12
0.040166,0,0,1,1,0.39,4.9351e-05,0,-0.11
0.030534,0,0,1,1,0.4,4.9351e-05,0,-0.1
0.023106,0,0,1,1,0.41,4.9351e-05,0,-0.09
0.017272,0,0,1,1,0.42,4.9351e-05,0,-0.08
0.012814,0,0,1,1,0.43,4.9351e-05,0,-0.07
0.009409,0,0,1,1,0.44,4.9351e-05,0,-0.06
0.0068058,0,0,1,1,0.45,4.9351e-05,0,-0.05
0.0050307,0,0,1,1,0.46,4.9351e-05,0,-0.04
0.0035698,0,0,1,1,0.47,4.9351e-05,0,-0.03
0.0025516,0,0,1,1,0.48,4.9351e-05,0,-0.02
0.001801,0,0,1,1,0.49,4.9351e-05,0,-0.01
0.0012596,0,0,1,1,0.5,4.9351e-05,0,0
0.00087539,0,0,1,1,0.51,4.9351e-05,0,0.01
0.00060686,0,0,1,1,0.52,4.9351e-05,0,0.02
0.00041079,0,0,1,1,0.53,4.9351e-05,0,0.03
0.00028097,0,0,1,1,0.54,4.9351e-05,0,0.04
0.00019256,0,0,1,1,0.55,4.9351e-05,0,0.05
0.00012744,0,0,1,1,0.56,4.9351e-05,0,0.06
8.6562e-05,0,0,1,1,0.57,4.9351e-05,0,0.07
5.753e-05,0,0,1,1,0.58,4.9351e-05,0,0.08
3.7498e-05,0,0,1,1,0.59,4.9351e-05,0,0.09
2.467e-05,0,0,1,1,0.6,4.9351e-05,0,0.1
1.6184e-05,0,0,1,1,0.61,4.9351e-05,0,0.11
1.0711e-05,0,0,1,1,0.62,4.9351e-05,0,0.12
6.8776e-06,0,0,1,1,0.63,4.9351e-05,0,0.13
4.4166e-06,0,0,1,1,0.64,4.9351e-05,0,0.14
2.8238e-06,0,0,1,1,0.65,4.9351e-05,0,0.15
1.7797e-06,0,0,1,1,0.66,4.9351e-05,0,0.16
1.1503e-06,0,0,1,1,0.67,4.9351e-05,0,0.17
7.2121e-07,0,0,1,1,0.68,4.9351e-05,0,0.18
4.5417e-07,0,0,1,1,0.69,4.9351e-05,0,0.19
2.8743e-07,0,0,1,1,0.7,4.9351e-05,0,0.2
1.7971e-07,0,0,1,1,0.71,4.9351e-05,0,0.21
1.1308e-07,0,0,1,1,0.72,4.9351e-05,0,0.22
6.6652e-08,0,0,1,1,0.73,4.9351e-05,0,0.23
4.2321e-08,0,0,1,1,0.74,4.9351e-05,0,0.24
2.6204e-08,0,0,1,1,0.75,4.9351e-05,0,0.25
1.5956e-08,0,0,1,1,0.76,4.9351e-05,0,0.26
9.7884e-09,0,0,1,1,0.77,4.9351e-05,0,0.27
6.0461e-09,0,0,1,1,0.78,4.9351e-05,0,0.28
3.5924e-09,0,0,1,1,0.79,4.9351e-05,0,0.29
2.1839e-09,0,0,1,1,0.8,4.9351e-05,0,0.3
1.3311e-09,0,0,1,1,0.81,4.9351e-05,0,0.31
7.8701e-10,0,0,1,1,0.82,4.9351e-05,0,0.32
4.7209e-10,0,0,1,1,0.83,4.9351e-05,0,0.33
2.8193e-10,0,0,1,1,0.84,4.9351e-05,0,0.34
1.6542e-10,0,0,1,1,0.85,4.9351e-05,0,0.35
9.9147e-11,0,0,1,1,0.86,4.9351e-05,0,0.36
5.8871e-11,0,0,1,1,0.87,4.9351e-05,0,0.37
3.4783e-11,0,0,1,1,0.88,4.9351e-05,0,0.38
2.0894e-11,0,0,1,1,0.89,4.9351e-05,0,0.39
1.2075e-11,0,0,1,1,0.9,4.9351e-05,0,0.4
7.1436e-12,0,0,1,1,0.91,4.9351e-05,0,0.41
4.2055e-12,0,0,1,1,0.92,4.9351e-05,0,0.42
2.4582e-12,0,0,1,1,0.93,4.9351e-05,0,0.43
1.4237e-12,0,0,1,1,0.94,4.9351e-05,0,0.44
8.1127e-13,0,0,1,1,0.95,4.9351e-05,0,0.45
4.7806e-13,0,0,1,1,0.96,4.9351e-05,0,0.46
2.8147e-13,0,0,1,1,0.97,4.9351e-05,0,0.47
1.6125e-13,0,0,1,1,0.98,4.9351e-05,0,0.48
9.8648e-14,0,0,1,1,0.99,4.9351e-05,0,0.49
7.1454e-14,0,0,1,1,1,4.9351e-05,0,0.5
