"cCO2","darcyVel:0","darcyVel:1","darcyVel:2","noIdG","elIdG","mat","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,1,1,1,1,0,0,0,0
1,1,0,0,2,1,1,1,0.01,0.01,0,0
1,1,0,0,3,2,1,1,0.02,0.02,0,0
1,1,0,0,4,3,1,1,0.03,0.03,0,0
1,1,0,0,5,4,1,1,0.04,0.04,0,0
1,1,0,0,6,6,1,1,0.05,0.05,0,0
0.99999,1,0,0,7,6,1,1,0.06,0.06,0,0
0.99999,1,0,0,8,8,1,1,0.07,0.07,0,0
0.99998,1,0,0,9,8,1,1,0.08,0.08,0,0
0.99997,1,0,0,10,10,1,1,0.09,0.09,0,0
0.99995,1,0,0,11,11,1,1,0.1,0.1,0,0
0.99992,1,0,0,12,11,1,1,0.11,0.11,0,0
0.99987,1,0,0,13,12,1,1,0.12,0.12,0,0
0.99981,1,0,0,14,13,1,1,0.13,0.13,0,0
0.99971,1,0,0,15,15,1,1,0.14,0.14,0,0
0.99957,1,0,0,16,16,1,1,0.15,0.15,0,0
0.99938,1,0,0,17,16,1,1,0.16,0.16,0,0
0.9991,1,0,0,18,18,1,1,0.17,0.17,0,0
0.99873,1,0,0,19,19,1,1,0.18,0.18,0,0
0.99822,1,0,0,20,19,1,1,0.19,0.19,0,0
0.99754,1,0,0,21,21,1,1,0.2,0.2,0,0
0.99664,1,0,0,22,21,1,1,0.21,0.21,0,0
0.99547,1,0,0,23,22,1,1,0.22,0.22,0,0
0.99396,1,0,0,24,24,1,1,0.23,0.23,0,0
0.99203,1,0,0,25,24,1,1,0.24,0.24,0,0
0.98961,1,0,0,26,25,1,1,0.25,0.25,0,0
0.98659,1,0,0,27,26,1,1,0.26,0.26,0,0
0.98287,1,0,0,28,28,1,1,0.27,0.27,0,0
0.97835,1,0,0,29,29,1,1,0.28,0.28,0,0
0.97289,1,0,0,30,29,1,1,0.29,0.29,0,0
0.96639,1,0,0,31,31,1,1,0.3,0.3,0,0
0.95871,1,0,0,32,32,1,1,0.31,0.31,0,0
0.94973,1,0,0,33,32,1,1,0.32,0.32,0,0
0.93934,1,0,0,34,34,1,1,0.33,0.33,0,0
0.92742,1,0,0,35,35,1,1,0.34,0.34,0,0
0.91389,1,0,0,36,35,1,1,0.35,0.35,0,0
0.89866,1,0,0,37,37,1,1,0.36,0.36,0,0
0.88167,1,0,0,38,38,1,1,0.37,0.37,0,0
0.8629,1,0,0,39,38,1,1,0.38,0.38,0,0
0.84232,1,0,0,40,39,1,1,0.39,0.39,0,0
0.81997,1,0,0,41,41,1,1,0.4,0.4,0,0
0.79589,1,0,0,42,41,1,1,0.41,0.41,0,0
0.77015,1,0,0,43,42,1,1,0.42,0.42,0,0
0.74287,1,0,0,44,44,1,1,0.43,0.43,0,0
0.71419,1,0,0,45,44,1,1,0.44,0.44,0,0
0.68426,1,0,0,46,45,1,1,0.45,0.45,0,0
0.65326,1,0,0,47,47,1,1,0.46,0.46,0,0
0.62141,1,0,0,48,47,1,1,0.47,0.47,0,0
0.58891,1,0,0,49,48,1,1,0.48,0.48,0,0
